source_surface_longitude,Br,R^2
83.74053731617585,-1.76,1.0026934019311258
83.78629267927344,-1.9,1.002691407810656
83.83204803097561,-2.36,1.002689413641979
83.8778033712881,-4.6,1.0026874194251136
83.92813423241384,-5.115,1.0026852257306706
83.97846507987228,-5.25,1.0026830319784246
84.02422038373578,-6.28,1.0026810376074164
84.06997567621585,-6.37,1.002679043188268
84.1157309573095,-4.6,1.0026770487209815
84.1660617532824,-2.385,1.0026748547511466
84.21639253561308,-3.33,1.0026726607235796
84.26214778025592,-1.54,1.0026706661023457
84.30790301354911,-2.02,1.0026686714330248
84.35365823543589,-2.48,1.0026666767156291
84.40398896631497,-4.21,1.0026644824707445
84.45431968357545,-3.17,1.0026622881682004
84.50007486906503,-3.76,1.0026602932970476
84.54583004315305,-3.7,1.00265829837787
84.5961607215034,-2.91,1.0026561039110804
84.64649138621084,-2.8,1.0026539093866922
84.6922465239505,-2.74,1.002651914313913
84.73800165032667,-2.45,1.00264991919316
84.78375676531195,-2.27,1.002647924024448
84.83408737863907,-1.755,1.0026457292832363
84.88441797833256,-2.08,1.002643534484499
84.93017305696492,-1.04,1.0026415391623813
84.97592812425339,-0.61,1.0026395437923512
85.02168318017172,-0.52,1.0026375483744208
85.07201372851327,-0.73,1.0026353533591448
85.12234426324781,0.17,1.00263315828642
85.16809928283807,-0.45,1.0026311627152873
85.21385429107903,-0.82,1.0026291670963037
85.25960928798528,-0.96,1.0026271714294848
85.30993977138833,-0.64,1.0026249761405053
85.36027024120557,-1.54,1.0026227807941523
85.40602520176502,0.99,1.002620784974334
85.45178015102933,0.65,1.0026187891067315
85.4975350889085,0.56,1.002616793191356
85.54786550744268,1.0150000000000001,1.0026145976290408
85.59819591235788,0.83,1.0026124020094251
85.64395081397498,1.37,1.0026104059412613
85.68970570425691,-0.06,1.002608409825376
85.73546058319204,0.3,1.0026064136617812
85.78579093688212,-0.10500000000000001,1.0026042178264996
85.83612127697882,0.1,1.002602021934003
85.88187611966075,1.34,1.002600025617825
85.92763095100096,1.61,1.002598029253995
85.97338577104725,0.91,1.002596032842523
86.0237160599331,0.14,1.002593836734655
86.0740463352321,0.7,1.002591640569649
86.11980111902005,1.27,1.0025896440058102
86.16555589149277,1.2,1.002587647394385
86.21131065264751,1.36,1.0025856507353823
86.26164087679177,1.29,1.0025834543553072
86.31197108736146,3.39,1.002581257918178
86.3577258123137,2.91,1.0025792611070257
86.40348052592662,2.7,1.0025772642483504
86.44923522826019,2.45,1.0025752673421713
86.49956538770297,2.9450000000000003,1.0025730706902825
86.5498955335807,2.78,1.002570873981418
86.59565019970782,2.67,1.0025688769233048
86.64140485453142,2.39,1.0025668798177392
86.68715949808626,1.73,1.002564882664737
86.74206505539215,1.77,1.0025624860185387
86.78324421264915,1.77,1.0025606884888467
86.84272520157262,1.91,1.002558091989878
86.87932887751147,2.03,1.0025564941044127
86.92508346229728,1.36,1.002554496704952
86.97541349246615,1.27,1.002552299510611
87.0257435090891,1.61,1.0025501022594656
87.0714980577196,1.79,1.002548104708518
87.11725259509303,2.35,1.0025461071102602
87.16758257309402,2.38,1.0025439096973114
87.21791253755684,2.23,1.0025417122276254
87.26366703881023,2.01,1.0025397144780643
87.30942152876932,2.47,1.002537716681251
87.35517600744882,2.3,1.002535718837195
87.40550592093882,1.855,1.002533521153957
87.45583582089756,0.13,1.0025313234140665
87.50159026346833,-0.23,1.0025293254189405
87.5473446948138,-0.63,1.0025273273766344
87.5930991148733,-0.32,1.002525329287163
87.64342896385853,-0.255,1.0025231313340461
87.6891833602479,0.08499999999999999,1.0025211331455701
87.73951318332915,0.29,1.002518935084053
87.78526755605657,2.51,1.0025169367966336
87.83102191750753,1.04,1.0025149384621246
87.88135170205669,1.03,1.0025127402395473
87.93168147311145,0.16,1.0025105419604985
87.97743579854895,-0.01,1.0025085434753824
88.02319011271506,0.33,1.002506544943233
88.06894441561414,0.15,1.0025045463640672
88.11927413577664,1.405,1.0025023478724595
88.16960384243693,1.65,1.002500149324465
88.21535810936172,1.96,1.002498150594932
88.26111236499844,1.83,1.002496151818444
88.3068666094316,1.66,1.002494152995012
88.36177168787876,0.26,1.0024917543449476
88.40752590753452,0.21,1.0024897554182908
88.45328011596277,-2.53,1.002487756444736
88.49903431318108,-3.09,1.0024857574243005
88.54478849913251,-0.84,1.002483758356993
88.59511809062602,-1.6400000000000001,1.0024815593286127
88.6454476686397,-1.03,1.002479360244026
88.69120181864163,-1.01,1.0024773610268458
88.73695595741128,-1.78,1.0024753617628597
88.78271008495435,-1.15,1.0024733624520856
88.83303961219977,-1.375,1.0024711631559704
88.8833691259741,-2.01,1.00246896380375
88.92454780886854,-2.555,1.002467164291252
88.97487729794433,-2.73,1.0024649648362114
89.02063136708966,-1.99,1.002462965282366
